"pk_name","pk_address","pk_code","pk_type_cd","pk_type_nm","oper_se","oper_se_nm","phone","weekday_start","weekday_end","weekend_start","weekend_end","holi_start","holi_end","parking_space","fee_type","basic_fee","basic_time","extra_fee","extra_time","daily_max_fee","monthly_fee","latitude","longitude","coord_src","collected_at"
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","1","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","2","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","3","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","4","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","5","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","6","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","7","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","8","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","9","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","10","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","11","DC콤보","급속(50kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","12","DC콤보","급속(100kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"50동부캠퍼스","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","13","DC콤보","급속(100kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"AI 체육센터","서울특별시 서초구 태봉로 108 AI 체육센터","1","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"AI 체육센터","서울특별시 서초구 태봉로 108 AI 체육센터","2","DC콤보","급속(100kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"SK허브수 인근 거주자우선주차장","서울특별시 구로구 구일로10길 27 (구로동, SK허브수) 지상1층 A동 앞 노상공영주차장","1","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"SK허브수 인근 거주자우선주차장","서울특별시 구로구 구일로10길 27 (구로동, SK허브수) 지상1층 A동 앞 노상공영주차장","2","AC완속","완속(7kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
"가산 공영주차장","서울특별시 금천구 시흥대로153길 53 (가산동, 가산공영주차장) 지상 3층 옥상 진입로 왼쪽 10M","1","DC콤보","급속(50kW단독)","","서울시","","","","","","","","","","","","","","","","","","",""
