"pk_name","pk_address","pk_code","pk_type_cd","pk_type_nm","oper_se","oper_se_nm","phone","weekday_start","weekday_end","weekend_start","weekend_end","holi_start","holi_end","parking_space","fee_type","basic_fee","basic_time","extra_fee","extra_time","daily_max_fee","monthly_fee","latitude","longitude","coord_src","collected_at"
"낙성대동주민센터","서울특별시 관악구 낙성대로4가길 5","ME174013","G0","G003","","","","","","","","","","","무료","","","","","","","37.476296","126.9583876","",""
"서울추모공원","서울특별시 서초구 양재대로12길 74","ME174027","A0","A004","","","","","","","","","","","유료","","","","","","","37.4536062","127.0428005","",""
"롯데마트 송파점","서울특별시 송파구 중대로 80","ME174029","E0","E001","","","","","","","","","","","유료","","","","","","","37.4918392","127.1178931","",""
"현대자동차 수색대리점","서울특별시 은평구 수색로 342-1","ME174037","F0","F001","","","","","","","","","","","유료","","","","","","","37.5867665","126.8880299","",""
"태화빌딩","서울특별시 종로구 인사동5길 29","ME174039","H0","H003","","","","","","","","","","","유료","","","","","","","37.5718148","126.9850443","",""
"위미의례회관","제주특별자치도 서귀포시 남원읍 중산간동로 6862","ME174046","A0","A004","","","","","","","","","","","유료","","","","","","","33.289615","126.6576261","",""
"중문 관광단지","제주특별자치도 서귀포시 색달동 2889-1","ME174050","D0","D007","","","","","","","","","","","무료","","","","","","","33.2461812","126.4143365","",""
"중문 관광단지","제주특별자치도 서귀포시 색달동 2889-1","ME174050","D0","D007","","","","","","","","","","","무료","","","","","","","33.2461812","126.4143365","",""
"중문 관광단지","제주특별자치도 서귀포시 색달동 2889-1","ME174050","D0","D007","","","","","","","","","","","무료","","","","","","","33.2461812","126.4143365","",""
"중문 관광단지","제주특별자치도 서귀포시 색달동 2889-1","ME174050","D0","D007","","","","","","","","","","","무료","","","","","","","33.2461812","126.4143365","",""
"중문 관광단지","제주특별자치도 서귀포시 색달동 2889-1","ME174050","D0","D007","","","","","","","","","","","무료","","","","","","","33.2461812","126.4143365","",""
"표선 의례회관 앞 공영주차장","제주특별자치도 서귀포시 표선면 표선리 2103","ME174061","B0","B001","","","","","","","","","","","무료","","","","","","","33.3272826","126.8233934","",""
"회수사거리 인근 공영주차장","제주특별자치도 서귀포시 회수동 788-2","ME174062","B0","B001","","","","","","","","","","","무료","","","","","","","33.2631165","126.4425962","",""
"용암해수산업화지원센터","제주특별자치도 제주시 구좌읍 일주동로 2706-40","ME174064","A0","A004","","","","","","","","","","","무료","","","","","","","33.5425723","126.8125030","",""
"한국폴리텍대학 제주캠퍼스","제주특별자치도 제주시 산천단 동3길 2","ME174067","J0","J001","","","","","","","","","","","무료","","","","","","","33.4464702","126.5613493","",""
