"pk_name","pk_address","pk_code","pk_type_cd","pk_type_nm","oper_se","oper_se_nm","phone","weekday_start","weekday_end","weekend_start","weekend_end","holi_start","holi_end","parking_space","fee_type","basic_fee","basic_time","extra_fee","extra_time","daily_max_fee","monthly_fee","latitude","longitude","coord_src","collected_at"
"제주시 상하수도본부","제주특별자치도 제주시 조천읍 중산간동로 601","ME174077","A0","A004","","","","","","","","","","","유료","","","","","","","33.4997499","126.6496365","",""
"압해읍사무소","전라남도 신안군 압해읍 학교리 585","ME174085","A0","A002","","","","","","","","","","","유료","","","","","","","34.8654674","126.3127835","",""
"보은군청앞 스포츠사업단 대형주차장","충청북도 보은군 보은읍 성주리 288-6","ME174118","B0","B004","","","","","","","","","","","무료","","","","","","","36.4910864","127.7304676","",""
"강화풍물시장 공영주차장","인천광역시 강화군 강화읍 갑곳리 849","ME174119","B0","B001","","","","","","","","","","","무료","","","","","","","37.7404676","126.4919478","",""
"계산1택지 공영주차장","인천광역시 계양구 계산동 1060","ME174120","B0","B001","","","","","","","","","","","무료","","","","","","","37.540182019","126.73630068","",""
"㈜현대자동차 블루핸즈 서인천 서비스 주차장 입구","인천광역시 서구 원석로 160","ME174125","F0","F001","","","","","","","","","","","무료","","","","","","","37.509973287","126.64197627","",""
"도원역 부근 공영주차장","인천광역시 중구 도원동 5-7","ME174128","B0","B001","","","","","","","","","","","무료","","","","","","","37.467239217","126.64140301","",""
"갈현동 주민센터 주차장","경기도 과천시 갈현동 679","ME174131","A0","A002","","","","","","","","","","","무료","","","","","","","37.419407323","126.98891498","",""
"남양주 시청","경기도 남양주시 금곡동 185-10","ME174134","A0","A001","","","","","","","","","","","유료","","","","","","","37.6363052","127.2177977","",""
"갯골생태공원","경기도 시흥시 장곡동 724-32","ME174140","D0","D001","","","","","","","","","","","무료","","","","","","","37.3888368","126.7806444","",""
"한강유역환경청","경기도 하남시 미사강변 한강로 299","ME174152","A0","A003","","","","","","","","","","","무료","","","","","","","37.570580700","127.19452200","",""
"유승기업(현대블루핸즈)","대전광역시 서구 계룡로 510","ME174154","F0","F001","","","","","","","","","","","무료","","","","","","","36.3436911","127.3804383","",""
"오월드 내 주차장","대전광역시 중구 사정동 142","ME174162","B0","B004","","","","","","","","","","","무료","","","","","","","36.290862911","127.39720409","",""
"기흥(부산) 휴게소","경기도 용인시 기흥구 공세로 173 (공세동)","ME178003","C0","C001","","","","","","","","","","","무료","","","","","","","37.2356557","127.105021","",""
"기흥(부산) 휴게소","경기도 용인시 기흥구 공세로 173 (공세동)","ME178003","C0","C001","","","","","","","","","","","무료","","","","","","","37.2356557","127.105021","",""
"김천(부산) 휴게소","경상북도 김천시 농소면 경부고속도로 193 (신촌리)","ME178004","C0","C001","","","","","","","","","","","무료","","","","","","","36.129385","128.164209","",""
"김천(부산) 휴게소","경상북도 김천시 농소면 경부고속도로 193 (신촌리)","ME178004","C0","C001","","","","","","","","","","","무료","","","","","","","36.129385","128.164209","",""
"김천(서울) 휴게소","경상북도 김천시 농소면 경부고속도로 194 (신촌리)","ME178005","C0","C001","","","","","","","","","","","무료","","","","","","","36.1307247","128.1632209","",""
"김천(서울) 휴게소","경상북도 김천시 농소면 경부고속도로 194 (신촌리)","ME178005","C0","C001","","","","","","","","","","","무료","","","","","","","36.1307247","128.1632209","",""
"서울만남(부산) 휴게소","서울특별시 서초구 양재대로12길 73-71 (원지동)","ME178009","C0","C001","","","","","","","","","","","무료","","","","","","","37.4600218","127.0420378","",""
"서울만남(부산) 휴게소","서울특별시 서초구 양재대로12길 73-71 (원지동)","ME178009","C0","C001","","","","","","","","","","","무료","","","","","","","37.4600218","127.0420378","",""
"입장거봉포도(서울) 휴게소","충청남도 천안시 서북구 입장면 연곡길 407","ME178010","C0","C001","","","","","","","","","","","무료","","","","","","","36.9427836","127.1943661","",""
"입장거봉포도(서울) 휴게소","충청남도 천안시 서북구 입장면 연곡길 407","ME178010","C0","C001","","","","","","","","","","","무료","","","","","","","36.9427836","127.1943661","",""
"천안삼거리(서울) 휴게소","충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1","ME178011","C0","C001","","","","","","","","","","","무료","","","","","","","36.7882107","127.1735101","",""
"천안삼거리(서울) 휴게소","충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1","ME178011","C0","C001","","","","","","","","","","","무료","","","","","","","36.7882107","127.1735101","",""
"천안삼거리(서울) 휴게소","충청남도 천안시 동남구 쉼1길 42 (삼룡동)173-1","ME178011","C0","C001","","","","","","","","","","","무료","","","","","","","36.7882107","127.1735101","",""
"금강(부산) 휴게소","충청북도 옥천군 동이면 금강로 596 (조령리)","ME178012","C0","C001","","","","","","","","","","","무료","","","","","","","36.2791549","127.6736776","",""
"금강(부산) 휴게소","충청북도 옥천군 동이면 금강로 596 (조령리)","ME178012","C0","C001","","","","","","","","","","","무료","","","","","","","36.2791549","127.6736776","",""
"금강(부산) 휴게소","충청북도 옥천군 동이면 금강로 596 (조령리)","ME178012","C0","C001","","","","","","","","","","","무료","","","","","","","36.2791549","127.6736776","",""
"옥산(부산) 휴게소","충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (오산리)","ME178014","C0","C001","","","","","","","","","","","무료","","","","","","","36.6567726","127.3703995","",""
"옥천만남 휴게소","충청북도 옥천군 옥천읍 중앙로 135 (삼양리)","ME178016","C0","C001","","","","","","","","","","","무료","","","","","","","36.3079099","127.5731265","",""
"음성(남이) 휴게소","충청북도 음성군 삼성면 용성리 산 44","ME178017","C0","C001","","","","","","","","","","","무료","","","","","","","37.0186894","127.4809059","",""
"음성(남이) 휴게소","충청북도 음성군 삼성면 용성리 산 44","ME178017","C0","C001","","","","","","","","","","","무료","","","","","","","37.0186894","127.4809059","",""
"죽암(서울) 휴게소","충청북도 청주시 서원구 현도면 경부고속도로 290","ME178019","C0","C001","","","","","","","","","","","무료","","","","","","","36.4957964","127.4308677","",""
"죽암(서울) 휴게소","충청북도 청주시 서원구 현도면 경부고속도로 290","ME178019","C0","C001","","","","","","","","","","","무료","","","","","","","36.4957964","127.4308677","",""
"청주(서울) 휴게소","충청북도 청주시 흥덕구 옥산면 경부고속도로 318 (장남리)","ME178020","C0","C001","","","","","","","","","","","무료","","","","","","","36.7162491","127.3487936","",""
"황간(서울) 휴게소","충청북도 영동군 황간면 회포1길 65 (회포리)","ME178022","C0","C001","","","","","","","","","","","무료","","","","","","","36.2485222","127.8546968","",""
"황간(서울) 휴게소","충청북도 영동군 황간면 회포1길 65 (회포리)","ME178022","C0","C001","","","","","","","","","","","무료","","","","","","","36.2485222","127.8546968","",""
"함평천지(서울) 휴게소","전라남도 함평군 함평읍 서해안고속도로 38 (죽암리)","ME178024","C0","C001","","","","","","","","","","","무료","","","","","","","35.1295648","126.4818537","",""
"함평천지(서울) 휴게소","전라남도 함평군 함평읍 서해안고속도로 38 (죽암리)","ME178024","C0","C001","","","","","","","","","","","무료","","","","","","","35.1295648","126.4818537","",""
"서천(서울) 휴게소","충청남도 서천군 비인면 서해안고속도로 168 (성산리)","ME178031","C0","C001","","","","","","","","","","","무료","","","","","","","36.1320831","126.6275272","",""
"서천(서울) 휴게소","충청남도 서천군 비인면 서해안고속도로 168 (성산리)","ME178031","C0","C001","","","","","","","","","","","무료","","","","","","","36.1320831","126.6275272","",""
"홍성(목포) 휴게소","충청남도 홍성군 은하면 서해안고속도로 221 (금국리)","ME178032","C0","C001","","","","","","","","","","","무료","","","","","","","36.5520256","126.579626","",""
"정읍녹두장군(순천) 휴게소","전북특별자치도 정읍시 북면 정신로 135-61 (남산리)","ME178041","C0","C001","","","","","","","","","","","무료","","","","","","","35.6015871","126.8626805","",""
"이천(남이) 휴게소","경기도 이천시 마장면 중부대로609번길 244-35 (목리)","ME178043","C0","C001","","","","","","","","","","","무료","","","","","","","37.2651225","127.4032213","",""
"음성(하남) 휴게소","충청북도 음성군 삼성면 중부고속도로 52 (양덕리)","ME178045","C0","C001","","","","","","","","","","","무료","","","","","","","37.0227527","127.4844255","",""
"음성(하남) 휴게소","충청북도 음성군 삼성면 중부고속도로 52 (양덕리)","ME178045","C0","C001","","","","","","","","","","","무료","","","","","","","37.0227527","127.4844255","",""
"건천(부산) 휴게소","경상북도 경주시 건천읍 경부고속도로 77 (방내리)","ME178046","C0","C001","","","","","","","","","","","무료","","","","","","","35.830231","129.1099622","",""
"고성공룡나라(통영) 휴게소","경상남도 고성군 대가면 통영대전고속도로 29 (송계리)","ME178048","C0","C001","","","","","","","","","","","무료","","","","","","","35.0515247","128.2640664","",""
"고성공룡나라(대전) 휴게소","경상남도 고성군 대가면 통영대전고속도로 32 (신전리)","ME178049","C0","C001","","","","","","","","","","","무료","","","","","","","35.0570523","128.2513447","",""
"금산인삼랜드(대전) 휴게소","충청남도 금산군 군북면 대암길 34-30 (외부리)","ME178055","C0","C001","","","","","","","","","","","무료","","","","","","","36.1550665","127.4964759","",""
"하남드림 휴게소","경기도 하남시 중부고속도로 117-1 (천현동)","ME178066","C0","C001","","","","","","","","","","","무료","","","","","","","37.5304600","127.2068880","",""
"충주(창원) 휴게소","충청북도 충주시 중앙탑면 중부내륙고속도로 231 (용전리)","ME178069","C0","C001","","","","","","","","","","","무료","","","","","","","37.0219027","127.8379417","",""
"충주(양평) 휴게소","충청북도 충주시 중앙탑면 중부내륙고속도로 230 (용전리)","ME178070","C0","C001","","","","","","","","","","","무료","","","","","","","37.0235629","127.8390638","",""
"원주(부산) 휴게소","강원특별자치도 원주시 호저면 마근거리길 120 (옥산리) 211","ME178073","C0","C001","","","","","","","","","","","무료","","","","","","","37.4345781","127.9292055","",""
"원주(부산) 휴게소","강원특별자치도 원주시 호저면 마근거리길 120 (옥산리) 211","ME178073","C0","C001","","","","","","","","","","","무료","","","","","","","37.4345781","127.9292055","",""
"원주(부산) 휴게소","강원특별자치도 원주시 호저면 마근거리길 120 (옥산리) 211","ME178073","C0","C001","","","","","","","","","","","무료","","","","","","","37.4345781","127.9292055","",""
"단양팔경(부산) 휴게소","충청북도 단양군 적성면 기동2길 32-37 (기동리)","ME178075","C0","C001","","","","","","","","","","","무료","","","","","","","36.9946821","128.2885772","",""
"단양팔경(춘천) 휴게소","충청북도 단양군 단성면 하방3길 100 (하방리)","ME178076","C0","C001","","","","","","","","","","","무료","","","","","","","36.9434738","128.3235426","",""
"치악(부산) 휴게소","강원특별자치도 원주시 신림면 치악로 416 (금창리)","ME178077","C0","C001","","","","","","","","","","","무료","","","","","","","37.2533111","128.0494506","",""
"치악(부산) 휴게소","강원특별자치도 원주시 신림면 치악로 416 (금창리)","ME178077","C0","C001","","","","","","","","","","","무료","","","","","","","37.2533111","128.0494506","",""
"구정(삼척) 휴게소","강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리)","ME178081","C0","C001","","","","","","","","","","","무료","","","","","","","37.7217564","128.8520681","",""
"구정(삼척) 휴게소","강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리)","ME178081","C0","C001","","","","","","","","","","","무료","","","","","","","37.7217564","128.8520681","",""
"구정(삼척) 휴게소","강원특별자치도 강릉시 구정면 동해고속도로 345 (제비리)","ME178081","C0","C001","","","","","","","","","","","무료","","","","","","","37.7217564","128.8520681","",""
"동해(삼척) 휴게소","강원특별자치도 동해시 동해대로 6437 동해휴게소동해방향 (망상동)","ME178082","C0","C001","","","","","","","","","","","무료","","","","","","","37.60143","129.0738745","",""
"동해(삼척) 휴게소","강원특별자치도 동해시 동해대로 6437 동해휴게소동해방향 (망상동)","ME178082","C0","C001","","","","","","","","","","","무료","","","","","","","37.60143","129.0738745","",""
"사천(부산) 휴게소","경상남도 사천시 곤양면 서삼로 619 (묵곡리)","ME178084","C0","C001","","","","","","","","","","","무료","","","","","","","35.0732831","128.0110198","",""
"사천(순천) 휴게소","경상남도 사천시 곤양면 묵실길 31-11 (묵곡리)","ME178085","C0","C001","","","","","","","","","","","무료","","","","","","","35.0748033","128.0134007","",""
"거창(광주) 휴게소","경상남도 거창군 가조면 가조가야로 1523 (도리)","ME178089","C0","C001","","","","","","","","","","","무료","","","","","","","35.7084155","128.0576192","",""
"거창(대구) 휴게소","경상남도 거창군 가조면 도리 453","ME178090","C0","C001","","","","","","","","","","","무료","","","","","","","35.7056972","128.0571946","",""
"강천산(대구) 휴게소","전북특별자치도 순창군 순창읍 88올림픽고속도로 22 (백산리)","ME178094","C0","C001","","","","","","","","","","","무료","","","","","","","35.3644118","127.1044692","",""
"강천산(대구) 휴게소","전북특별자치도 순창군 순창읍 88올림픽고속도로 22 (백산리)","ME178094","C0","C001","","","","","","","","","","","무료","","","","","","","35.3644118","127.1044692","",""
"와촌(포항) 휴게소","경상북도 경산시 와촌면 강학길 103 (강학리)","ME178098","C0","C001","","","","","","","","","","","무료","","","","","","","35.9520202","128.7754218","",""
"와촌(포항) 휴게소","경상북도 경산시 와촌면 강학길 103 (강학리)","ME178098","C0","C001","","","","","","","","","","","무료","","","","","","","35.9520202","128.7754218","",""
"진안마이산(익산) 휴게소","전북특별자치도 진안군 진안읍 익산장수고속도로 41 (단양리)","ME178100","C0","C001","","","","","","","","","","","무료","","","","","","","35.7782697","127.425744","",""
"진안마이산(익산) 휴게소","전북특별자치도 진안군 진안읍 익산장수고속도로 41 (단양리)","ME178100","C0","C001","","","","","","","","","","","무료","","","","","","","35.7782697","127.425744","",""
"진안마이산(장수) 휴게소","전북특별자치도 진안군 진안읍 익산장수고속도로 42 (단양리)","ME178101","C0","C001","","","","","","","","","","","무료","","","","","","","35.774925","127.4262837","",""
"진안마이산(장수) 휴게소","전북특별자치도 진안군 진안읍 익산장수고속도로 42 (단양리)","ME178101","C0","C001","","","","","","","","","","","무료","","","","","","","35.774925","127.4262837","",""
"의성(영덕) 휴게소","경상북도 의성군 안계면 새못안길 45-47 (양곡리)","ME178103","C0","C001","","","","","","","","","","","무료","","","","","","","36.40962390","128.44679060","",""
"의성(영덕) 휴게소","경상북도 의성군 안계면 새못안길 45-47 (양곡리)","ME178103","C0","C001","","","","","","","","","","","무료","","","","","","","36.40962390","128.44679060","",""
"예산(당진) 휴게소","충청남도 예산군 신양면 당진영덕고속도로 33 (서계양리)","ME178107","C0","C001","","","","","","","","","","","무료","","","","","","","36.6182862","126.8471263","",""
"안성맞춤(제천) 휴게소","경기도 안성시 서운면 신능리 51-11","ME178109","C0","C001","","","","","","","","","","","무료","","","","","","","36.96806","127.2750034","",""
"안성맞춤(평택) 휴게소","경기도 안성시 서운면 신능리 51-16","ME178110","C0","C001","","","","","","","","","","","무료","","","","","","","36.9700252","127.2740842","",""
"금왕(제천) 휴게소","충청북도 음성군 금왕읍 평택제천고속도로 70 (용계리)","ME178111","C0","C001","","","","","","","","","","","무료","","","","","","","36.9688428","127.5902964","",""
"금왕(제천) 휴게소","충청북도 음성군 금왕읍 평택제천고속도로 70 (용계리)","ME178111","C0","C001","","","","","","","","","","","무료","","","","","","","36.9688428","127.5902964","",""
